,Nome do Poço,Fase,Tipo Poço,LDA (Lâmina D'Água),Diâmetro Fase,Metragem,NFases
0,6C5G4M,1,VERTICAL,598.0,26      ,607.0,4
1,6C5G4M,2,VERTICAL,598.0,17 1/2  ,1306.0,4
2,6C5G4M,3,VERTICAL,598.0,12 1/4  ,1201.0,4
3,6C5G4M,4,VERTICAL,598.0,8 1/2   ,1445.0,4
4,8030JC,1,VERTICAL,0.0,17 1/2  ,410.0,3
5,8030JC,2,VERTICAL,0.0,12 1/4  ,1670.0,3
6,8030JC,3,VERTICAL,0.0,8 1/2   ,1498.0,3
7,9K474J,1,VERTICAL,134.0,42      ,79.0,3
8,9K474J,2,VERTICAL,134.0,28      ,995.0,3
9,9K474J,3,VERTICAL,134.0,22      ,1112.0,3
10,OYC6AY,1,VERTICAL,1801.0,26      ,352.0,7
11,OYC6AY,2,VERTICAL,1801.0,14 3/4  ,674.0,7
12,OYC6AY,3,VERTICAL,1801.0,16      ,0.0,7
13,OYC6AY,4,VERTICAL,1801.0,12 1/4  ,1079.0,7
14,OYC6AY,5,VERTICAL,1801.0,8 1/2   ,568.0,7
15,OYC6AY,6,VERTICAL,1801.0,8 15/32 ,9.0,7
16,OYC6AY,7,VERTICAL,1801.0,8 1/2   ,703.0,7
17,GQH3R4,1,VERTICAL,41.5,26      ,93.0,6
18,GQH3R4,2,VERTICAL,41.5,17 1/2  ,509.0,6
19,GQH3R4,3,VERTICAL,41.5,12 1/4  ,1844.0,6
20,GQH3R4,4,VERTICAL,41.5,8 1/2   ,493.0,6
21,GQH3R4,5,VERTICAL,41.5,8 15/32 ,6.0,6
22,GQH3R4,6,VERTICAL,41.5,8 1/2   ,644.0,6
23,U0AN10,1,VERTICAL,24.0,26      ,328.0,3
24,U0AN10,2,VERTICAL,24.0,17 1/2  ,1005.0,3
25,U0AN10,3,VERTICAL,24.0,12 1/4  ,235.0,3
26,P86A8J,1,VERTICAL,880.0,26      ,418.0,3
27,P86A8J,2,VERTICAL,880.0,16      ,886.0,3
28,P86A8J,3,VERTICAL,880.0,12 1/4  ,1489.0,3
29,7PCLH2,1,VERTICAL,2200.0,26      ,49.0,4
30,7PCLH2,2,VERTICAL,2200.0,17 1/2  ,460.0,4
31,7PCLH2,3,VERTICAL,2200.0,12 1/4  ,672.0,4
32,7PCLH2,4,VERTICAL,2200.0,8 1/2   ,1200.0,4
33,178N74,1,VERTICAL,1801.0,17 1/2  ,500.0,3
34,178N74,2,VERTICAL,1801.0,12 1/4  ,1225.0,3
35,178N74,3,VERTICAL,1801.0,8 1/2   ,315.0,3
36,T5GBJN,1,VERTICAL,1918.0,26      ,410.0,4
37,T5GBJN,2,VERTICAL,1918.0,16      ,954.0,4
38,T5GBJN,3,VERTICAL,1918.0,12 1/4  ,956.0,4
39,T5GBJN,4,VERTICAL,1918.0,8 1/2   ,965.0,4
40,48T9LT,1,VERTICAL,976.0,8 1/2   ,710.0,4
41,48T9LT,2,VERTICAL,976.0,26      ,50.0,4
42,48T9LT,3,VERTICAL,976.0,17 1/2  ,665.0,4
