poco,fase,tipo_poco,lda,diametro_fase,metragem,nfases
6C5G4M,1,VERTICAL,598.0,26.0,607.0,4
6C5G4M,2,VERTICAL,598.0,17.5,1306.0,4
6C5G4M,3,VERTICAL,598.0,12.25,1201.0,4
6C5G4M,4,VERTICAL,598.0,8.5,1445.0,4
8030JC,1,VERTICAL,0.0,17.5,410.0,3
8030JC,2,VERTICAL,0.0,12.25,1670.0,3
8030JC,3,VERTICAL,0.0,8.5,1498.0,3
9K474J,1,VERTICAL,134.0,42.0,79.0,3
9K474J,2,VERTICAL,134.0,28.0,995.0,3
9K474J,3,VERTICAL,134.0,22.0,1112.0,3
OYC6AY,1,VERTICAL,1801.0,26.0,352.0,7
OYC6AY,2,VERTICAL,1801.0,14.75,674.0,7
OYC6AY,3,VERTICAL,1801.0,16.0,0.0,7
OYC6AY,4,VERTICAL,1801.0,12.25,1079.0,7
OYC6AY,5,VERTICAL,1801.0,8.5,568.0,7
OYC6AY,6,VERTICAL,1801.0,8.46875,9.0,7
OYC6AY,7,VERTICAL,1801.0,8.5,703.0,7
GQH3R4,1,VERTICAL,41.5,26.0,93.0,6
GQH3R4,2,VERTICAL,41.5,17.5,509.0,6
GQH3R4,3,VERTICAL,41.5,12.25,1844.0,6
GQH3R4,4,VERTICAL,41.5,8.5,493.0,6
GQH3R4,5,VERTICAL,41.5,8.46875,6.0,6
GQH3R4,6,VERTICAL,41.5,8.5,644.0,6
U0AN10,1,VERTICAL,24.0,26.0,328.0,3
U0AN10,2,VERTICAL,24.0,17.5,1005.0,3
U0AN10,3,VERTICAL,24.0,12.25,235.0,3
P86A8J,1,VERTICAL,880.0,26.0,418.0,3
P86A8J,2,VERTICAL,880.0,16.0,886.0,3
P86A8J,3,VERTICAL,880.0,12.25,1489.0,3
7PCLH2,1,VERTICAL,2200.0,26.0,49.0,4
7PCLH2,2,VERTICAL,2200.0,17.5,460.0,4
7PCLH2,3,VERTICAL,2200.0,12.25,672.0,4
7PCLH2,4,VERTICAL,2200.0,8.5,1200.0,4
178N74,1,VERTICAL,1801.0,17.5,500.0,3
178N74,2,VERTICAL,1801.0,12.25,1225.0,3
178N74,3,VERTICAL,1801.0,8.5,315.0,3
T5GBJN,1,VERTICAL,1918.0,26.0,410.0,4
T5GBJN,2,VERTICAL,1918.0,16.0,954.0,4
T5GBJN,3,VERTICAL,1918.0,12.25,956.0,4
T5GBJN,4,VERTICAL,1918.0,8.5,965.0,4
48T9LT,1,VERTICAL,976.0,8.5,710.0,4
48T9LT,2,VERTICAL,976.0,26.0,50.0,4
48T9LT,3,VERTICAL,976.0,17.5,665.0,4
M626VM,1,VERTICAL,1147.0,36.0,62.0,3
M626VM,2,VERTICAL,1147.0,17.5,595.0,3
M626VM,3,VERTICAL,1147.0,12.25,1045.0,3
9SVE3I,1,DIRECIONAL,495.0,36.0,64.0,4
9SVE3I,2,DIRECIONAL,495.0,17.5,578.0,4
9SVE3I,3,DIRECIONAL,495.0,12.25,2083.0,4
9SVE3I,4,DIRECIONAL,495.0,8.5,1242.0,4
H43MYL,1,VERTICAL,295.0,36.0,66.0,5
H43MYL,2,VERTICAL,295.0,26.0,426.0,5
H43MYL,3,VERTICAL,295.0,17.5,1293.0,5
H43MYL,4,VERTICAL,295.0,12.25,1195.0,5
H43MYL,5,VERTICAL,295.0,8.5,932.0,5
US4486,1,VERTICAL,69.0,26.0,16.0,6
US4486,2,VERTICAL,69.0,26.0,64.0,6
US4486,3,VERTICAL,69.0,17.5,0.0,6
US4486,4,VERTICAL,69.0,12.25,570.0,6
US4486,5,VERTICAL,69.0,8.5,1514.0,6
US4486,6,VERTICAL,69.0,8.5,140.0,6
DJ943I,1,VERTICAL,859.0,26.0,61.0,6
DJ943I,2,VERTICAL,859.0,17.5,765.0,6
DJ943I,3,VERTICAL,859.0,12.25,1256.0,6
DJ943I,4,VERTICAL,859.0,12.25,5.0,6
DJ943I,5,VERTICAL,859.0,12.25,329.0,6
