POCO,CADASTRO,ESTADO,BACIA,TERRA_MAR,TIPO,CATEGORIA,SITUACAO,INICIO,TERMINO,CONCLUSAO,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DURACAO,ANO_INICIO,ANO_TERMINO
1-ALV-1-BA,20240024032,BA,Recôncavo,T,1,Pioneiro,FECHADO,2009-07-09,2009-08-13,2009-08-20,"-12,2775066666","-38,2821922222",2260.0,2356.0,2359.0,99.0,,0.0,35,2009,2009
1-ALV-7D-BA,20240027869,BA,Recôncavo,T,1,Pioneiro,PRODUZINDO,2014-11-07,2014-11-25,2014-12-01,"-12,4996608333","-38,1963472222",-1406.0,1669.0,1624.0,,94.0,0.0,18,2014,2014
1-APL-1-ESS,34281023052,ES,Campos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2008-05-31,2008-10-12,2008-11-11,"-21,6471686111","-39,8860711111",5980.0,6024.0,6025.0,,0.0,,134,2008,2008
1-APL-2-ESS,34281024147,ES,Campos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2009-09-03,2009-12-09,2009-12-20,"-21,57888","-39,8861994444",5788.0,5815.0,5815.0,25.0,0.0,1496.0,97,2009,2009
1-APL-3-ESS,34281024565,ES,Campos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2010-02-22,2010-08-14,2010-09-01,"-21,7302386111","-39,8492869444",5162.0,5200.0,5242.0,25.0,0.0,1476.0,173,2010,2010
1-AURI-17-RN,72100022225,RN,Potiguar,T,1,Pioneiro,ARRASADO,2007-03-09,2007-03-18,2007-03-18,"-5,1510869444","-36,3054955555",832.0,855.0,855.0,23.0,17.0,0.0,9,2007,2007
1-AURI-18-RN,72100022247,RN,Potiguar,T,1,Pioneiro,ARRASADO,2007-03-26,2007-04-04,2007-04-06,"-5,1661377777","-36,3585788888",-763.0,796.0,796.0,33.0,27.0,0.0,9,2007,2007
1-AURI-20-RN,72100022322,RN,Potiguar,T,1,Pioneiro,ARRASADO,2007-05-10,2007-06-05,2007-06-07,"-5,1622180555","-37,0167663888",-2050.0,2244.0,2244.0,188.0,194.0,0.0,26,2007,2007
1-AURI-21-RN,72100022603,RN,Potiguar,T,1,Pioneiro,ARRASADO,2007-10-13,2007-10-29,2007-10-31,"-5,1857088888","-37,1485194444",1837.0,2001.0,2001.0,,,0.0,16,2007,2007
1-AURI-22-RN,72100022644,RN,Potiguar,T,1,Pioneiro,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,2007-11-05,2007-11-24,2007-12-11,"-5,0552830555","-37,0387963888",-1739.0,1911.0,1911.0,,,0.0,19,2007,2007
1-AURI-25-SE,90120023427,SE,Sergipe,T,1,Pioneiro,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,2008-11-03,2008-11-09,2008-12-12,"-10,7709288888","-37,2228486111",-547.0,648.0,648.0,101.0,95.0,0.0,6,2008,2008
1-AURI-26-RN,72100023458,RN,Potiguar,T,1,Pioneiro,ARRASADO,2008-11-11,2008-11-23,2008-11-24,"-5,01756","-37,2609344444",-947.0,972.0,972.0,25.0,20.0,0.0,12,2008,2008
1-AURI-27-RN,72100023504,RN,Potiguar,T,1,Pioneiro,ARRASADO,2008-12-01,2008-12-09,2008-12-31,"-5,3111947222","-36,5970136111",-303.0,350.0,350.0,47.0,42.0,0.0,8,2008,2008
1-BGM-4-ES,34270029754,ES,Espírito Santo,T,1,Pioneiro,PRODUZINDO,2021-11-27,2021-12-29,2022-01-14,"-19,2577216666","-39,8168363888",-2050.0,2061.0,2061.0,11.0,5.0,0.0,32,2021,2021
1-BGM-5-ES,34270029799,ES,Espírito Santo,T,1,Pioneiro,PRODUZINDO,2022-03-16,2022-03-31,2022-05-11,"-19,2635366666","-39,8377991666",-12890.0,1300.0,,,,0.0,15,2022,2022
1-BGM-8-ES,34270029982,ES,Espírito Santo,T,1,Pioneiro,FECHADO,2023-02-14,2023-03-25,2023-04-10,"-19,3286411111","-39,8466530555",1662.0,1672.0,1672.0,11.0,5.0,0.0,39,2023,2023
1-BP-10-BAS,20246027256,BA,Camamu,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2013-09-16,2013-11-01,2013-12-11,"-14,3082052777","-38,3719730555",5919.0,5940.0,5944.0,25.0,0.0,2578.0,46,2013,2013
1-BP-5-RJS,74281025891,RJ,Campos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2011-12-02,2011-12-28,2012-01-02,"-23,0470572222","-40,2128675",3836.0,3860.0,3860.0,24.0,0.0,2504.0,26,2011,2011
1-BP-6-RJS,74281025970,RJ,Campos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-01-07,2012-02-25,2012-03-12,"-23,1405136111","-40,1980291666",5913.0,5933.0,5938.0,25.0,0.0,2587.0,49,2012,2012
1-BP-7-RJS,74281026107,RJ,Campos,M,1,Pioneiro,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,2012-03-14,2012-09-20,2012-10-19,"-23,1026727777","-40,0114708333",6900.0,6925.0,6925.0,25.0,0.0,2730.0,190,2012,2012
1-BP-8D-RJS,74281026952,RJ,Campos,M,1,Pioneiro,nan,2013-03-29,2013-05-12,2013-05-24,"-23,0965875","-40,3474772222",5388.0,5410.0,5413.0,25.0,0.0,,44,2013,2013
1-BRSA-1005-MG,58275025825,MG,São Francisco,T,1,Pioneiro,EM PERFURAÇÃO,2011-11-02,2012-05-25,2012-07-02,"-17,0877016666","-45,6576908333",-2328.0,2846.0,2852.0,524.0,515.0,0.0,205,2011,2012
1-BRSA-1006-RN,72100025833,RN,Potiguar,T,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2011-11-04,2011-12-25,2012-02-13,"-5,3404105555","-37,1565858333",-1834.0,1930.0,1930.0,,,0.0,51,2011,2011
1-BRSA-1007-RJS,74281025836,RJ,Campos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2011-11-06,2012-03-01,2012-04-23,"-23,4370755555","-40,7269508333",-5564.0,5600.0,5596.0,32.0,0.0,2270.0,116,2011,2012
1-BRSA-1009-RN,72100025859,RN,Potiguar,T,1,Pioneiro,ARRASADO,2011-11-12,2011-11-23,2011-11-28,"-5,3212991666","-37,475245",-1141.0,1186.0,1185.0,,,0.0,11,2011,2011
1-BRSA-1013-SES,90121025877,SE,Sergipe,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2011-11-28,2012-04-14,2012-05-07,"-11,2810416666","-36,8269275",-4260.0,4270.0,4272.0,12.0,0.0,1520.0,138,2011,2012
1-BRSA-102-RJS,74316019604,RJ,Santos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2001-09-01,2001-10-29,2001-11-02,"-24,2209819444","-42,3866777777",5250.0,5347.0,5347.0,14.0,0.0,1412.0,58,2001,2001
1-BRSA-1022-SES,90121025907,SE,Sergipe,M,1,Pioneiro,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,2011-12-09,2012-07-11,2012-07-23,"-11,1075241666","-36,6534727777",-4114.0,4126.0,4126.0,12.0,0.0,1302.0,215,2011,2012
1-BRSA-103-RJS,74316019605,RJ,Santos,M,1,Pioneiro,ABANDONADO POR LOGÍSTICA EXPLORATÓRIA,2001-09-02,2001-11-27,2001-12-07,"-24,3029322222","-42,8317086111",5575.0,5602.0,5602.0,24.0,0.0,1207.0,86,2001,2001
1-BRSA-1034-RN,72100025966,RN,Potiguar,T,1,Pioneiro,ARRASADO,2012-01-05,2012-01-22,2012-04-30,"-5,3645480555","-37,2289408333",1772.0,1845.0,1859.0,,,0.0,17,2012,2012
1-BRSA-1042D-RN,72100026029,RN,Potiguar,T,1,Pioneiro,ARRASADO,2012-02-01,2012-02-17,2012-02-23,"-5,3183286111","-37,4407458333",-1481.0,1558.0,1559.0,,,0.0,16,2012,2012
1-BRSA-1044-RN,72100026031,RN,Potiguar,T,1,Pioneiro,DEVOLVIDO,2012-02-05,2012-03-18,2012-03-24,"-5,3010830555","-37,231495",1954.0,2004.0,2005.0,,,0.0,42,2012,2012
1-BRSA-1045i-SPS,86316026033,SP,Santos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-02-07,2012-02-08,2012-02-10,"-25,9547133333","-43,1921625",-2825.0,2843.0,2843.0,18.0,0.0,2202.0,1,2012,2012
1-BRSA-1045-SPS,86316026150,SP,Santos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-04-02,2012-07-08,2012-07-30,"-25,9542047222","-43,1917322222",-5746.0,5766.0,5772.0,25.0,0.0,2202.0,97,2012,2012
1-BRSA-1050-SPS,86316026061,SP,Santos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-02-19,2012-10-05,2012-11-03,"-26,6887344444","-45,6495547222",-6834.0,6848.0,6858.0,23.0,0.0,1763.0,229,2012,2012
1-BRSA-1055-RN,72100026073,RN,Potiguar,T,1,Pioneiro,ARRASADO,2012-02-25,2012-03-08,2012-03-11,"-5,3500027777","-37,7677488888",905.0,1023.0,1024.0,,,0.0,12,2012,2012
1-BRSA-1063i-SPS,86316026130,SP,Santos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-03-16,2012-03-17,2012-03-18,"-25,1753616666","-44,1688127777",-2742.0,2760.0,2760.0,18.0,0.0,1870.0,1,2012,2012
1-BRSA-1071-ESS,34271026187,ES,Espírito Santo,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-04-23,2012-05-18,2012-06-08,"-20,5055119444","-39,8100133333",-2962.0,2973.0,2974.0,12.0,0.0,1204.0,25,2012,2012
1-BRSA-108A-ESS,34281019655,ES,Campos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2001-10-14,2002-01-13,2002-01-19,"-21,2731725","-40,0033316666",4782.0,4802.0,4802.0,14.0,0.0,1347.0,91,2001,2002
1-BRSA-108-ESS,34281019641,ES,Campos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2001-10-07,2001-10-09,2002-01-19,"-21,2731838888","-40,0029461111",4782.0,2005.0,4802.0,14.0,0.0,1374.0,2,2001,2001
1-BRSA-1080-CES,30096026232,CE,Ceará,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-05-12,2012-08-27,2012-09-13,"-2,8172561111","-38,6155555555",-5944.0,5973.0,5973.0,28.0,0.0,2130.0,107,2012,2012
1-BRSA-1081-ESS,34271026255,ES,Espírito Santo,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-05-20,2012-07-27,2012-08-24,"-19,6431672222","-39,0061141666",-4381.0,4405.0,4406.0,25.0,0.0,913.0,68,2012,2012
1-BRSA-1086-ESS,34271026301,ES,Espírito Santo,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-06-04,2012-06-04,2012-06-05,"-20,4646080555","-39,7019575",-1586.0,1609.0,1609.0,23.0,0.0,1537.0,0,2012,2012
1-BRSA-1092-RNS,72101026369,RN,Potiguar,M,1,Pioneiro,ARRASADO,2012-07-09,2012-09-22,2012-11-04,"-4,6177733333","-36,9819011111",2749.0,2780.0,2780.0,,0.0,,75,2012,2012
1-BRSA-1104-SES,90121026452,SE,Sergipe,M,1,Pioneiro,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,2012-08-16,2012-12-13,2013-01-25,"-10,9580013888","-36,0834563888",-6023.0,6056.0,6048.0,25.0,0.0,2328.0,119,2012,2012
1-BRSA-1108-SES,90121026491,SE,Sergipe,M,1,Pioneiro,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,2012-09-05,2012-11-24,2012-12-30,"-11,1785111111","-36,3032225",-5350.0,5376.0,5376.0,26.0,0.0,2583.0,80,2012,2012
1-BRSA-1114-CES,30096026511,CE,Ceará,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-09-17,2012-11-27,2012-12-23,"-2,7837183333","-38,7449997222",-5059.0,5087.0,5087.0,28.0,0.0,1934.0,71,2012,2012
1-BRSA-1141-SES,90121026731,SE,Sergipe,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2012-12-14,2013-03-20,2013-04-08,"-11,2038630555","-36,5607422222",-4250.0,4272.0,4275.0,25.0,0.0,2101.0,96,2012,2013
1-BRSA-1146-RJS,74316026742,RJ,Santos,M,1,Pioneiro,FECHADO,2012-12-18,2013-04-22,2013-05-19,"-24,9755202777","-42,4384230555",-5557.0,5580.0,5582.0,25.0,0.0,2266.0,125,2012,2013
1-BRSA-1166D-ESS,34271026942,ES,Espírito Santo,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2013-03-24,2013-08-30,2013-09-11,"-20,4769508333","-38,8529247222",-5812.0,6350.0,6344.0,32.0,0.0,2264.0,159,2013,2013
1-BRSA-1175-CES,30101027044,CE,Potiguar,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2013-05-16,2013-09-30,2013-10-14,"-3,888705","-37,2014555555",-5801.0,5836.0,5829.0,28.0,0.0,1928.0,137,2013,2013
1-BRSA-1189-AM,14020027175,AM,Solimões,T,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2013-07-26,2013-10-16,2013-11-09,"-4,6929225","-64,8975005555",-2897.0,2966.0,,,,0.0,82,2013,2013
1-BRSA-12-RN,72100018963,RN,Potiguar,T,1,Pioneiro,FECHADO,2000-08-01,2000-08-28,2000-10-14,"-5,5180472222","-37,4121413888",1600.0,1600.0,1600.0,87.0,,0.0,27,2000,2000
1-BRSA-1204-MT,54320027294,MT,Parecis - Alto Xingu,T,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2013-10-11,2014-08-01,2014-09-05,"-13,8311994444","-55,4345313888",-5562.0,6057.0,6065.0,,,0.0,294,2013,2014
1-BRSA-1236-AM,14020027518,AM,Solimões,T,1,Pioneiro,ABANDONADO AGUARDANDO ABANDONO DEFINITIVO/ARRASAMENTO,2014-03-25,2014-05-11,2014-06-07,"-5,4711813888","-65,9831569444",-1973.0,2064.0,2066.0,,,0.0,47,2014,2014
1-BRSA-125-RJS,74281019787,RJ,Campos,M,1,Pioneiro,ABANDONADO PERMANENTEMENTE,2002-01-18,2002-02-27,2002-03-03,"-23,3888716666","-39,9885636111",5634.0,5658.0,5658.0,24.0,0.0,2849.0,40,2002,2002
1-BRSA-1257-MA,50090027727,MA,Parnaíba,T,1,Pioneiro,ARRASADO,2014-08-11,2014-09-11,2014-09-16,"-4,5498852777","-45,2357077777",-2121.0,2210.0,2210.0,,,0.0,31,2014,2014
1-BRSA-1270D-RN,72100027812,RN,Potiguar,T,1,Pioneiro,ARRASADO,2014-10-06,2014-10-23,2014-10-28,"-5,3377625","-36,9467872222",-1778.0,1911.0,1879.0,,,0.0,17,2014,2014
